Jeg er i fængslet.	I'm at the prison.
Han blev alvorligt såret ved bilulykken.	He was seriously injured in the car accident.
Hun plantede et palmetræ.	She planted a palm tree.
Hvor gammel skal man være for at blive gift uden sine forældres tilladelse?	How old do you have to be to get married without your parents' permission?
Jeg har en hund.	I have a dog.
Jeg har set to fyre kysse hinanden i gangen.	I saw two guys kissing each other in the hallway.
Dette metal kaldes zink.	This metal is called zinc.
Jeg er løbet tør for penge.	I've run short of money.
Tom sad i sin bil udenfor restauranten.	Tom was sitting in his car outside the restaurant.
Jeg kan bedre lide kaffe end sort te.	I like coffee better than black tea.
Hans kæreste gjorde det for ham.	His girlfriend did it for him.
Jeg har cool tøj og cool solbriller på.	I wear cool clothes and cool sunglasses.
Du vover ikke spise mig!	You dare not eat me!
Han vil være tilbage om et minut.	He'll be back in a minute.
Tom er altid fraværende.	Tom is always absent.
Jeg ville solbade.	I wanted to sunbathe.
Min mor købte to flasker æblejuice.	My mum bought two bottles of apple juice.
Tom tænkte at Mary ikke ville spise salaten hvis der var løg i.	Tom didn't think Mary would eat the salad if it had onions in it.
Lagde han an på dig?	Did he put the moves on you?
De siger at han er skyldig, men jeg er overbevist om det modsatte.	They say he is guilty, but I believe the contrary.
Det er ikke nok.	That isn't enough.
Jeg har kendt John siden 1976.	I have known John since 1976.
Sluk for din mobiltelefon.	Please turn off your cellphone.
Mary ønsker at sælge sin bil.	Mary wants to sell her car.
Min far er en smule gammeldags.	My father is a bit old fashioned.
Kunne du skrue ned for fjernsynet?	Could you lower the volume of the television?
Vi har opstillet tredive bænke på vandrestierne rundt om vores landsby.	We have erected thirty benches on the walking trails around our village.
Alle landsbyer i Kabylien har en moske.	Every village in Kabylie has a mosque.
Brød og smør er min sædvanlige morgenmad.	Bread and butter are my usual breakfast.
"Kan du godt lide slanger?" "Selvfølgelig ikke."	"Do you like snakes?" "Of course not."
Der var is i køleskabet.	There was ice cream in the fridge.
Jeg ønsker virkelig en motorcykel.	I really want a motorcycle.
Jeg har en tid hos lægen klokken ti.	I have an appointment at the doctor's office at ten o'clock.
Vi importerer te fra Indien.	We import tea from India.
Tom er fattig, men han er lykkelig.	Tom is poor, but he's happy.
Tom sagde at han syntes at jeg så ud som om jeg kedede mig.	Tom said he thought that I looked like I was bored.
Jeg spillede fodbold i går.	I played soccer yesterday.
Der var nogen hjemme.	Somebody was in the house.
Det er en slags appelsin.	It is a kind of orange.
Sig det på russisk!	Say it in Russian!
Hun lagde nogle penge til side til en regnvejrsdag.	She put by some money for a rainy day.
Sådan er livet.	That's how life is.
Årets ord 2011 i Danmark er "arabisk forår." Andre foreslåede ord var "fedtafgift," "løftebrud" og "vejvrede."	The word of the year 2011 in Denmark is "Arab spring." Other proposed words were "fat tax," "broken promises" and "road rage."
Vi gjorde ikke noget forkert.	We did nothing wrong.
Tom strøg sig over skægget.	Tom stroked his beard.
Dette er et fotografi af mit maleri.	This is a photo of my painting.
Spild ikke tid på bagateller.	Don't waste time on trifles.
Tom og Mary hadede hinanden.	Tom and Mary hated one another.
Skaden er sket.	The genie is out of the bottle.
Hold dig fra drager og stol aldrig på elve!	Never deal with a dragon and never trust an elf!
Hold snuden for dig selv!	Mind your own business.
Tom er endnu ikke teenager.	Tom isn't a teenager yet.
Hvad har du købt?	What did you buy?
Betjenten bad Tom tømme lommerne.	The police officer asked Tom to empty his pockets.
Jag katten ud af køkkenet!	Chase the cat from the kitchen.
Jeg havde ikke forventet at være her så hurtigt.	I didn't expect to be here so soon.
En fed hvid kat sat på en mur og betragtede dem med søvnige øjne.	A fat white cat sat on a wall and watched them with sleepy eyes.
Jeg bad Mike hjælpe mig.	I asked Mike to help me.
Jeg bad Tom om at komme.	I asked Tom to come.
Han er lige kommet tilbage fra biblioteket.	He just came back from the library.
Tom har fået gode karakterer i fransk.	Tom got good grades in French.
Tom sagde ikke et ord.	Tom didn't say a word.
Lad os gøre det kort.	Let's make it brief.
Bolde er runde.	Balls are round.
I er alle nogle bangebukse.	You're all chickenshits.
Har du en mobiltelefon?	Have you got a mobile phone?
Du arbejder hårdere end alle andre her.	You work harder than anyone here.
Jeg har en hvid og en sort hund.	I have a white dog and a black dog.
Jeg spiste det.	I ate it.
I er ikke mine brødre.	You're not my brothers.
Jeg taler japansk, engelsk og fransk.	I speak Japanese, English, and French.
Den her er ikke min bil. Det er Toms.	This car isn't mine. It's Tom's.
Strukturformlen for vand er H-O-H.	The structural formula for water is H-O-H.
Ægypterne byggede dette tempel til ære for farao Ramses den Anden.	The Egyptians built this temple to honour the Pharaoh Ramses II.
Jeg er i gang med at læse en interessant bog.	At the moment, I'm reading an interesting book.
Jeg ønsker, at hun ville holde op med at ryge.	I wish that she would stop smoking.
Det er en andens problem.	That's someone else's problem.
Blev du våd?	Did you get wet?
Hvad kalder man denne grøntsag på engelsk?	What do you call this vegetable in English?
Lad mig!	Let me do it.
Hun begik selvmord ved at hænge sig.	She committed suicide by hanging herself.
Jeg ved hvad der er ved at ske.	I know what's about to happen.
Jeg løj.	I was lying.
Han var barfodet med nøgen overkrop.	He was bare-chested and barefoot.
Min mor elsker mig.	My mother loves me.
Tom har en båd.	Tom has a boat.
Dette er alt hvad jeg ved.	This is all I know.
Tom græd.	Tom was crying.
Er dette sterlingsølv?	Is this sterling silver?
Det vidste jeg ikke.	I did not know this.
Hold vasen med begge hænder.	Hold the vase with both hands.
Tom og Mary kommer ikke til festen.	Tom and Mary aren't coming to the party.
Hvis bare jeg havde været lidt højere!	If only I'd been a little taller!
Jeg tænker, altså er jeg.	I think, therefore I am.
Hvem sendte du den sidste besked til?	Whom did you send the last message to?
Serveren er nede.	The server is down.
Dette er ikke et postkontor.	This isn't a post office.
Tom er først i 40'erne.	Tom is in his early forties.
Tokyo station er det tredje stop.	Tokyo Station is the third stop.
Sikken en smuk solopgang!	What a beautiful sunrise it is!
Jeg savner ord.	Words fail me.
Hvornår skal du giftes?	When are you going to get married?
Kom du med toget?	Did you come by train?
De to børn var jævnaldrende.	The two children were of an age.
Han døde fem år tidligere.	He died five years earlier.
Tom har stemt.	Tom voted.
Hvad skal der blive af os?	What is going to become of us?
Det skøre egern hører til i et galehus!	That crazy squirrel belongs in a nuthouse!
Har du noget at skrive med?	Do you have something to write with?
Dømt til døden.	Condemned to death.
Han er den dreng vi talte om den anden dag.	He's the boy we spoke about the other day.
Hvor er min kam?	Where is my comb?
Hun var fascineret.	She was intrigued.
Du har købt flere frimærker end nødvendigt.	You have bought more postage stamps than are necessary.
I morgen er det tirsdag den 10. oktober.	Tomorrow is Tuesday, the tenth of October.
Dette mål er uopnåeligt.	That goal is unattainable.
Tom er læge.	Tom's a doctor.
Han røg op i det røde felt.	He lost his temper.
Jeg er lige blevet bedstefar.	I've just become a grandfather.
Undervisningen begynder i næste uge.	Classes begin next week.
Jeg vil have Tom til at sige at han tog fejl.	I want Tom to say he was wrong.
Min navigator virker ikke i udlandet.	My GPS navigator doesn't work abroad.
Jeg besøger Algeriet regelmæssigt.	I visit Algeria regularly.
Det er ikke billigt.	That's not cheap.
De kom i sidste i uge.	They came last week.
Dit hår er så smukt.	Your hair is so pretty.
Samis video gik viralt på YouTube.	Sami's video went viral on YouTube.
Er udtalen rigtig?	Is the pronunciation correct?
Dette giver ingen mening.	This doesn't make any sense.
Jeg vil ikke mæle et ord.	I won't breathe a word.
Jeg synes godt om den statue.	I like that statue.
Tom er cool.	Tom is cool.
Dræbte I ham?	Did you kill him?
"Jeg tilbringer aftenen med Tom." "Tom! Er det ikke din kat?"	"I'm spending the evening with Tom." "Isn't Tom your cat?"
Toms mor er sådan en sladdertante.	Tom's mother is such a gossip.
Hun kan ikke lide sin egen mand.	She doesn't like her husband.
Tom bad Mary om at holde en tale på hans skole.	Tom asked Mary to give a speech at his school.
Han var i sne til knæene.	He was knee-deep in snow.
Donna blev født med en sølvske i munden.	Donna was born with a silver spoon in her mouth.
Mon der er noget godt i fjernsynet?	I wonder if there is anything good on TV.
Din bil er hurtig.	Your car is fast.
Jeg har ingen yderligere spørgsmål.	I have no further questions.
Du gjorde det godt.	You did great.
Kig ikke ud ad vinduet. Koncentrer jer om jeres arbejde.	Don't look out the window. Concentrate on your work.
Kast ankret!	Drop the anchor!
Vi vil bevare freden, koste hvad det vil.	We will keep the peace at all costs.
Hun er en født kunstner.	She's a born artist.
Tom lufter hver morgen sin hund.	Tom walks his dog every morning.
Jeg har løjet.	I lied.
Hvad er det lavet af?	What is it made of?
Jeg har ikke noget problem med at lade andre hjælpe.	I have no problem letting others help.
Hvornår går du i seng lørdag aften?	What time do you go to sleep Saturday night?
Kig ud ad vinduet.	Look out of the window.
Tom har mange venner.	Tom has many friends.
Hun gav et æble til Tom.	She gave an apple to Tom.
Tom landede sin helikopter på en øde ø.	Tom landed his helicopter on a desert island.
I stedet for "det internationale sprog af Dr. Esperanto" kom efter nogle år det korte navn "Esperanto" i brug. På denne dag fejrer vi derfor i hele verden 125-årsdagen for esperanto.	After a few years, in place of "the international language of Dr. Esperanto," the short name "Esperanto" came into use. Therefore, on this day we celebrate, all over the world, the 125th anniversary of Esperanto.
Tom stiller næsten aldrig spørgsmål.	Tom hardly ever asks questions.
Denne bog er skrevet på fransk.	This book is written in French.
Familien Jackson boede i Boston, inden de flyttede hertil.	The Jacksons lived in Boston before they moved here.
Tom satte sin egen karriere i anden række og blev hjemmegående for at gøre det muligt for Mary at gå videre med sin karriere.	Tom put his career on the back burner and became a house husband, to enable Mary to pursue her career.
Jeg har lige gjort mit værelse rent.	I have just cleaned my room.
Jeg ved hvor den er.	I know where it is.
Hvad har brillerne kostet?	How much were the glasses?
Jeg bor på landet.	I live in a rural area.
Jeg ville ikke have sagt det på den måde.	I wouldn't have said it that way.
Hvad slags information kan man finde på nettet?	What sort of information do you get on the Internet?
Jeg foretrækker et hotel tæt på lufthavnen.	I prefer a hotel by the airport.
Tom er i køkkenet og vasker op.	Tom is in the kitchen, washing dishes.
Du gjorde den samme fejl.	You made the same mistake.
Han inviterede mig ud på en date.	He asked me on a date.
Den ensomme pige spiser en klæg sandwich.	The lonely girl eats a soggy sandwich.
Mange tak for blomsterne!	Thank you for the flowers!
Han tog til London via Paris.	He went to London via Paris.
Det er to år siden, jeg studerede medicin.	It has been two years since I studied medicine.
Han forstuvede sin fod.	He sprained his foot.
Tom tror ikke det vil regne, men han har planer om at tage en paraply med bare for en sikkerheds skyld.	Tom doesn't think it'll rain, but he plans to carry an umbrella just in case.
Åbn dine øjne.	Open your eyes.
Sommeren er ved at være ovre.	Summer is coming to an end.
Jeg er ret god til at svømme.	I'm very good at swimming.
Jeg vil overveje det.	I'll think about it.
Berlinmuren faldt i 1990.	The Berlin Wall fell in 1990.
Han har stjålet mit ur.	He stole my watch.
Jeg har fået for vane at sove længe om søndagen.	I'm in the habit of sleeping late on Sundays.
Jeg kan godt lide jazzmusik.	I like jazz music.
Denne frygt er forståelig.	This fear is understandable.
Jorden adskiller sig fra de andre planeter ved at der findes vand på den.	The earth is different from the other planets in that it has water.
"Manden der stirrer på dig." "Ja, den mand genkender stil når han ser det."	"That man is staring at you." "That man knows style when he sees it."
Jeg voksede op i Shiraz.	I grew up in Shiraz.
Jeg vil give dig mit hjerte for evigt.	I want to give you my heart for ever.
